speed_limit,speed,licence_plate
90,86,N2H 5472
60,41,U7K 2139
120,105,G7V 8888
40,27,S0H 1061
120,116,C9Z 8708
120,120,O8Y 7493
50,46,W0K 6384
120,107,X7W 2532
150,139,E5A 9521
70,66,E9I 6953
40,36,X9Z 0340
80,71,Y5R 7667
120,111,X3N 9145
130,118,Y7Y 6111
130,124,E8R 4850
150,133,O4Z 7570
90,78,Y9F 7090
130,117,G6U 1722
150,146,Y6Z 4899
40,36,C9T 7460
70,54,U3X 0253
130,124,U2I 6183
100,82,L6X 4835
80,74,A9L 8996
40,43,V9Z 5705
50,60,K5Q 2610
130,130,V9B 8086
130,122,D5H 3557
40,33,Q5R 3350
40,26,J3Q 6721
140,135,X1M 1327
40,24,S3S 0297
140,124,M3S 9546
150,140,F6T 4787
110,96,F5S 2804
100,97,A2O 2504
70,61,R3X 5145
90,87,Y5T 7711
110,108,M1K 7851
150,139,K0O 9310
70,70,S3K 8399
120,102,U6J 1457
60,48,G7B 0274
90,80,U4K 9926
110,99,C3N 1673
100,100,G3G 3498
70,68,C2Y 1938
80,69,S0L 5956
100,100,R1H 5270
80,71,A8Q 5387
130,128,W0E 7014
60,56,R3Q 0463
70,64,C8C 6653
130,119,W8E 0791
110,96,A4R 8448
110,96,I0I 9274
70,60,V0L 5142
40,39,Z0G 4908
120,108,T1O 1857
110,90,B5P 4855
90,84,P9Y 4973
40,37,F1R 2273
110,110,S7Z 4222
110,97,S6Q 3291
90,70,P7Y 0678
150,145,O1R 4941
50,50,K8B 9769
130,111,G1N 7288
40,26,Y9O 6532
150,150,R2A 7289
120,114,R5B 2360
100,83,R0F 7645
110,103,W7W 1406
110,106,I2F 6476
80,60,Q6O 0978
120,105,N8Z 7375
100,85,O4G 4314
40,35,C4J 2155
100,94,T2S 4107
100,95,P5M 7516
40,37,I1D 7088
70,53,X4X 2356
50,44,H4L 8764
40,33,Z0Z 3969
140,127,H8O 3882
40,21,Z1W 5093
40,38,R6D 2138
120,103,O8J 8194
120,120,M0O 6251
150,139,A7F 5457
80,73,F9B 4504
60,49,B1X 3558
100,90,B1I 5353
120,120,L3T 6089
110,94,L7J 7901
40,23,Y2N 6736
50,32,K7O 0978
40,28,R8K 7752
120,119,A5Y 8148
70,59,S7F 3394
130,119,R9C 1749
150,137,E3V 5213
140,132,Z7T 0685
130,113,M8E 6528
70,58,S6R 5424
110,113,T5R 3067
60,50,Z9C 3360
40,23,C4V 7573
70,58,E8G 0889
140,134,J0E 4163
100,81,T8Q 3123
110,96,P8C 2303
100,100,A7J 7405
50,37,D8L 4915
120,107,J5B 3070
110,90,H6U 6607
140,136,Y4R 1814
40,34,I9Y 9547
140,135,O6R 5182
130,128,B4C 6341
60,45,H1X 7370
120,108,P6J 0692
100,94,D3Q 3014
130,112,E3U 8110
70,66,A8L 0894
80,67,S9Z 2715
140,122,B2Z 9658
130,129,P7A 9938
110,106,Q4B 9863
60,57,P6Q 4016
130,116,K8W 6206
100,81,S1F 2374
100,83,L2K 1727
150,150,G7W 7146
110,100,U5S 6112
40,23,J9T 0645
70,70,T9S 2800
140,127,I1I 3664
120,114,I2M 6333
140,126,V5C 3786
130,124,R7X 0283
90,79,H8T 7750
110,93,H6D 5777
80,78,V6X 1619
50,49,W4I 9516
120,103,Z5S 8511
100,99,J9S 6574
130,113,K9U 8499
40,35,L5Z 1673
110,95,A3I 3945
50,35,J4F 8189
110,103,I1Q 0020
140,139,V0N 8275
150,150,D8M 4249
80,76,S6W 2694
110,108,O4C 1852
130,128,F6V 2321
70,63,T6L 1193
50,41,G0R 0005
70,70,P1V 2041
150,135,C6Z 0273
120,117,L0O 0339
150,131,J9P 3903
150,135,S6G 3328
150,135,J0L 2702
50,48,N6U 2029
110,102,W9K 0509
140,135,M4T 1343
80,68,L3R 3414
90,80,Y5A 3181
100,87,J0O 9790
150,146,P8X 0154
40,26,R9K 1476
150,132,M8I 5617
120,103,O1S 5332
110,104,K2T 2255
60,57,U7H 4487
80,67,G1R 1499
120,106,E3A 4912
50,39,X2X 4144
70,63,N8O 9179
80,66,J8E 4406
130,127,I5B 6636
70,52,U6Q 3341
40,27,I1V 7939
130,110,Y0W 3201
140,130,F4A 7817
60,51,N8J 2203
130,122,C4I 6033
80,73,Y4C 2650
70,64,K2Z 1551
90,83,U1I 8670
60,52,P5D 9084
100,93,E6J 0339
40,24,I7O 0434
110,92,M3G 8221
100,85,C7L 2005
110,96,O5Z 9255
130,127,O5B 3397
120,106,N5F 4933
100,86,O9M 6684
120,104,H6W 0586
90,72,Y6G 4248
40,36,B0K 6294
120,107,G1D 7754
110,104,L6D 0325
50,48,D1S 3666
140,132,D5H 5169
150,139,Q4B 5814
100,98,K2U 8824
60,41,J4U 9218
90,79,O2Y 9129
80,64,J5Y 7015
140,121,K5V 6363
130,110,I0B 6269
110,93,S7F 1566
100,92,I0U 6564
90,86,V7C 8256
70,69,Z0S 1603
60,43,C0R 8478
140,135,M8D 4198
70,57,B6X 4345
140,123,C6W 9545
50,41,U4U 0206
120,106,J4L 5333
90,72,C5A 1174
130,120,N6X 8369
140,127,V5G 0169
140,139,B4I 7841
50,36,X3Z 4743
110,110,B3S 9112
60,59,C8F 6230
40,25,C6P 2637
110,109,W5S 7280
100,98,F8N 3914
130,133,Y1C 9423
100,97,Q8O 5938
80,74,C0Q 5723
120,102,X7Y 6158
80,67,K8S 9431
90,70,B2H 3543
110,97,E1Y 7245
110,95,V9E 9035
60,54,D9J 1378
130,139,N7Z 2377
40,37,L6Z 7214
70,58,Z8A 7354
40,39,R6V 4988
130,116,G1S 0795
70,62,C5A 9584
150,136,X0C 3502
120,115,J5J 3720
70,59,J5B 1906
140,135,X4W 3531
130,123,R7L 7935
130,115,D9E 2999
130,112,P8K 3622
110,94,Q6V 3586
150,146,G7V 9427
80,77,Z8S 5343
50,40,L4I 5230
110,93,Y1Y 0365
80,88,P2Q 3358
110,101,H7S 7333
150,140,G2Q 3928
70,60,U9P 9673
70,60,P0Y 9246
110,91,E3R 7863
70,52,R4N 3527
70,54,Z9A 1557
120,108,V1P 5737
40,27,V7Z 8137
60,47,K7G 2267
60,44,K6M 0306
80,62,K8W 2711
100,83,Y5S 1567
50,35,L2L 4733
80,62,X9G 8253
60,49,M5B 9349
150,139,U6M 2167
140,123,P6J 7650
40,28,L1D 1494
140,140,T9U 5895
50,48,N9K 2862
40,23,R4B 9752
110,109,J0S 2885
40,26,I5V 6742
120,116,R6R 3048
100,84,O4T 1852
90,89,X7F 1203
90,78,G2Y 6109
50,42,G5V 2274
100,82,G1T 3368
130,129,J3D 2828
60,52,B6Q 1728
50,46,J4N 9486
110,105,A2E 4837
140,129,Z6N 3624
130,116,A2V 4874
90,78,U6Z 6137
150,132,A6J 6110
130,124,L6X 3309
110,108,B2V 2974
50,35,P4K 6582
150,142,T5L 8939
80,77,E1G 5901
100,82,N7N 2265
110,94,L7S 8321
70,60,J3X 6648
50,48,V3Z 4528
50,45,C1F 9815
90,85,P8A 7828
110,98,Q0W 3597
130,129,C1A 3854
70,59,O9Z 6090
60,42,Z5X 9991
120,110,H6C 1340
70,65,V3Q 7961
100,94,A1X 7612
100,87,Z9S 7049
100,98,N3Y 1535
90,89,P6O 8324
60,53,I5C 8775
100,92,Q4R 9741
100,97,Z8C 2355
80,63,Z6R 9050
140,130,R1R 0842
70,60,L7Q 9799
100,83,J4Q 8666
50,31,V8E 0561
130,136,G8W 5649
100,88,H6N 3316
40,22,V2W 1798
40,36,N5G 5813
70,70,N9V 7536
70,56,Y1R 4461
80,65,Y8I 2971
80,68,W1R 6301
60,57,I0G 0716
110,92,Q4C 9635
90,79,V5C 6680
90,83,K8H 7117
140,124,N5W 4486
80,75,U8W 8896
80,73,B4O 6326
90,77,C0G 4405
110,93,Z7Y 7015
50,32,L4N 7639
130,130,L1V 1949
50,48,Z0L 2506
50,40,B5V 7126
100,91,E7O 6873
40,35,E7S 7855
50,49,R6E 3245
100,93,W8P 1898
40,38,R5M 3321
140,133,O6P 6865
120,101,I8K 0459
90,84,X2G 0156
60,56,G5Y 0028
80,68,W7B 9529
110,106,D3N 5479
120,116,D0Q 5594
120,119,D2I 1425
60,48,M6Z 0484
60,47,X0Y 8623
150,145,C6C 7542
120,103,Z2D 0204
70,66,U0U 3785
80,75,K6X 5193
80,74,K7T 3665
150,132,B4S 5767
50,43,C9J 9573
150,137,Q9K 9724
150,140,Z1F 7524
80,75,W1Y 3612
140,131,V5V 5044
100,97,Z9W 5051
150,148,A6G 5768
90,86,X9G 6221
100,82,Q7N 5400
60,56,L8D 3931
140,133,F8G 9714
60,47,O8C 9118
150,136,Z9D 6228
120,103,E9T 9620
60,59,A5D 0539
140,134,M4C 6140
100,82,A7G 6049
40,24,I0E 7031
130,122,N7J 0236
130,111,G0B 7343
100,84,K7Z 5873
120,100,C3G 9696
80,79,G8P 9589
60,41,I2V 3317
40,34,B2N 3649
40,39,N7N 6686
40,36,A4T 8523
110,101,Y4Q 1150
40,20,I7S 7144
100,93,R1T 3600
130,122,F3F 9435
40,20,H2E 7501
120,117,C9I 3821
60,42,K4N 4226
70,50,K8Z 7573
70,63,V8I 1709
150,149,S0G 9889
130,120,K3K 0724
50,40,R6G 4295
100,100,E4C 5327
80,64,Y7B 2418
80,63,A0A 4412
120,119,J5K 2829
70,54,D5R 2210
140,136,T9K 2996
50,41,C2M 9790
150,147,K4N 4796
100,85,U8L 1209
80,74,V4O 3498
60,47,E2A 3612
50,39,P8D 7578
120,106,X7L 8850
140,122,H5S 1849
60,48,W9M 9611
130,126,C6H 4270
140,139,F8O 1173
40,35,H6Z 0655
130,130,Y0W 2891
100,85,R4L 1191
150,139,T7Q 4668
140,137,U3Q 3436
90,76,Y2L 6818
140,129,A7L 7622
60,56,N9J 6295
60,45,V9C 6817
150,131,R2L 2373
60,56,F1Q 5418
120,117,D2M 7332
90,84,X8J 5305
50,36,K9N 4779
100,92,D6F 0236
140,139,H2V 2921
80,61,W3Z 4288
110,97,T2Z 1082
80,70,U8R 4662
130,114,I0P 7723
110,94,Y7A 4884
150,146,E8G 5039
130,129,N4W 8637
150,136,Z0O 8222
120,107,U9V 4558
70,61,T7M 2595
50,30,R2S 2025
100,97,M7Q 6876
70,56,G5A 3991
130,122,G6Z 2285
110,92,F0W 3309
50,50,U0F 2838
100,94,F0W 2303
60,52,S9H 6108
80,65,O7P 6911
90,79,G5B 6368
110,102,L2B 3337
60,57,S3H 4083
130,123,W4Z 0887
120,110,W6H 7163
80,75,A6J 7726
120,118,Q5Q 0845
80,68,S0K 1688
50,36,J0A 3042
60,46,J9U 9909
50,37,E6I 7169
120,113,K2C 6466
110,105,U6V 6757
130,126,S9N 3988
130,113,S8J 7614
70,68,B3I 4169
140,140,O1O 6425
40,37,J5J 4723
140,136,F0K 7704
130,121,Y5J 5154
70,69,C9W 0522
40,36,Y7N 3678
130,124,I5P 9051
80,79,F7G 1006
90,87,M0I 0955
140,137,U0A 3122
80,74,R6T 3828
60,54,P7G 7375
50,37,F1C 4207
110,97,N4C 9730
120,101,B8K 3869
90,76,H3V 7454
150,149,L2Y 7000
80,74,W0Y 2331
50,50,G7X 7278
70,62,K8D 9539
150,137,D7F 5730
110,90,I6C 5033
40,41,C2J 3932
90,75,J7X 9682
60,45,A9L 8405
140,124,F9P 7019
120,109,O5N 6382
150,134,C9V 9521
90,79,V2H 9802
100,96,W2F 4191
120,109,S2C 7907
100,99,G6F 6752
40,37,A7A 3368
90,75,I1F 2193
150,139,W3G 3434
90,85,N5U 3983
90,90,I2H 6511
120,113,P2P 8155
40,26,I6G 2171
70,60,N3I 2596
50,30,D9H 8425
40,39,C2W 6784
140,139,K1Q 9367
100,88,E9Z 1094
80,61,F3W 5127
130,111,M4L 3090
120,102,L2F 9835
110,99,X8Y 6587
150,147,H9A 6542
80,75,C2M 3960
50,49,T4J 9131
80,70,O6R 6090
100,95,X4U 9100
140,121,Y9I 2334
50,48,D6B 2608
140,123,P6K 7969
90,87,V1V 7832
120,115,J3Z 6347
140,132,S1C 9926
140,130,Q6Q 9138
40,28,F4J 5048
100,80,A9S 0095
80,74,U1H 7767
50,42,L4W 8151
140,123,B7T 5631
120,101,X5U 6611
130,124,E9Z 3505
100,94,H0K 0609
50,48,A7U 9786
140,133,F3T 6285
130,114,K9H 7255
140,125,D2D 3321
100,80,V2M 9521
100,98,X5C 0648
90,88,G7E 2067
90,72,B5Z 6539
110,109,F6Q 5518
70,56,S1C 1642
140,139,H3D 3854
90,72,O6K 2299
40,37,X9H 8276
150,136,V7M 0412
120,116,R2Z 4246
150,131,X5G 3789
110,105,X9U 7608
100,81,V2X 1523
150,146,J8X 5171
70,61,T2Y 8077
150,142,I5S 2909
120,105,B2A 8369
70,65,Q8B 8243
60,54,W5O 3992
150,130,J1D 5168
120,117,I4C 6455
140,136,E9V 7360
120,117,D9A 8935
50,40,T2D 1147
130,121,S0R 4958
130,125,D3L 5653
100,82,A1D 8666
50,48,F8W 8177
80,60,E2L 3810
40,26,B6T 7586
90,90,U3N 5991
150,135,G3B 7895
80,80,L4T 0442
60,53,A4C 7024
110,98,F0D 6907
130,113,A0E 8507
90,76,T2R 1458
100,81,O1T 4093
140,121,R6W 5464
90,83,Q1A 8347
130,135,R5I 7329
130,128,N2M 4912
130,119,Y1K 9266
140,138,X6G 4028
90,70,T2P 9056
80,66,K2W 6944
100,81,H5U 8003
50,37,V6Z 9325
140,140,B5J 3255
80,73,Z2G 9097
130,113,J1D 8067
50,40,F2X 6173
70,62,E2R 6169
140,135,P1P 0679
50,46,U9T 5219
130,122,Z8L 5399
110,94,H9V 5150
130,114,T5K 9557
70,63,V8C 0264
130,113,X9W 5309
40,39,N1W 8890
100,93,A3D 3130
80,66,O1Y 0002
50,47,F4H 7961
120,120,Z4C 0117
90,83,R4R 1749
100,91,R4L 6615
40,27,E4Z 3669
120,113,B0Y 8712
150,132,D5B 0516
50,43,B4J 8415
110,94,W8S 4605
80,86,Z6S 3960
120,102,X6T 2220
90,76,U2J 9420
40,35,M6G 9436
80,70,J2Q 2349
150,138,V0K 7515
50,30,Z7W 9452
40,23,C0M 1061
60,55,L8L 3940
130,126,H3R 9023
130,111,J6Z 0669
140,126,O5X 7987
90,90,T9X 9352
80,60,Y3E 3971
130,116,E0H 7080
60,50,Q2T 7998
130,118,H0G 2591
120,118,B5F 8747
100,89,H8L 2419
150,148,U7J 5242
50,41,C5M 7295
150,145,L5T 3970
60,58,D4S 4198
90,71,M0F 6978
40,27,L9V 6979
150,148,P0X 2001
150,147,U8T 5294
40,31,C4O 8097
90,90,C3Q 9471
110,98,H5C 0547
100,100,S5Z 3711
110,101,C9M 9908
140,126,V7M 8143
40,25,I4P 6237
110,90,D9K 8587
130,117,B3L 6935
40,36,I5A 5591
120,111,W7F 9932
120,109,R8C 6281
70,57,G8E 1409
110,108,J3Z 6950
100,91,M6G 0215
100,91,C5R 0072
70,52,G1A 3749
150,132,B7R 7904
110,106,V5C 4624
110,97,P6O 6774
70,60,W6W 0268
50,42,L3B 8307
130,117,P9U 0516
80,76,C2Z 2113
40,40,A6T 2673
130,120,Y5U 4514
150,144,S4S 3875
100,94,P0H 0988
130,126,N4Q 0846
90,77,N9O 8735
100,100,A7M 9199
60,46,V6J 3950
50,44,X5K 5316
80,79,A7Z 4449
120,103,G1I 5529
60,58,I9R 5231
140,125,X3Y 2263
150,140,C4A 0694
120,105,O7A 1301
150,149,C7A 6952
90,72,Z4O 1484
150,139,Y8W 9788
100,93,R1X 5320
100,95,I3Q 4521
150,135,E1L 5257
50,49,I8U 9424
50,44,T7A 1158
120,109,G4N 5657
50,32,S2C 9170
140,123,W0X 3759
110,99,H8W 0948
80,67,F6D 5245
110,109,W5E 6765
150,136,P4C 0643
110,91,B9P 6479
140,135,R3L 2114
100,84,F5D 0720
70,70,D3K 8916
120,100,D1A 2115
80,78,W1S 8562
50,41,R8L 0373
130,129,K3C 8779
130,119,Y8H 5274
40,22,Q1B 7217
120,104,L3I 0051
120,108,X9C 9451
110,93,C5P 3788
140,120,C2S 7679
50,32,S4N 4590
140,130,N6V 4257
100,84,P4T 4128
80,79,W4Y 7784
140,125,A6F 9579
100,85,F8N 1950
100,97,Z4X 7173
40,23,H5K 3638
150,149,V0B 6120
50,38,W3Y 8348
150,140,S4C 7480
100,96,W2M 9013
90,74,F3S 6287
90,74,I0F 0688
70,65,U5A 8305
40,33,E3Y 1220
90,84,W2G 6233
150,145,U2Q 9853
150,150,T8A 5810
110,95,Q8Q 6038
40,37,H5L 7526
140,137,O8P 7379
110,94,E5E 6113
110,91,H3G 4987
40,37,K4G 0737
140,127,M7I 4593
50,31,F0O 4889
110,102,Y6R 2730
130,122,T1T 1746
100,84,T5Q 1956
120,102,J7D 2109
100,94,O1W 4928
120,111,E2T 9751
110,99,P5I 1577
90,87,R5A 6674
70,64,K2H 9773
80,71,V7I 1374
40,30,O0A 7795
130,127,J9Y 6977
50,35,W5D 3912
130,111,A5C 1798
110,101,Z9W 4950
110,90,V5T 1706
100,88,M8I 1466
80,67,U1F 2863
90,83,P0I 3678
80,65,I2H 6821
150,149,Y5K 3500
140,125,R5H 0473
120,105,W8E 6620
70,63,S5D 2008
80,78,U4D 3486
80,62,V7O 4930
120,106,Z1S 5170
40,24,K6F 1601
120,118,M9M 9212
110,90,A8H 8390
40,32,G4H 6950
150,148,S8W 3994
150,150,K5Q 9186
60,52,E4V 8292
60,52,F4Z 2717
120,117,T7Y 9766
60,46,I1D 8868
110,110,U7J 6822
60,45,H6D 1285
130,125,L4W 5266
140,129,L9Y 5857
50,39,H2Y 1752
80,69,M1O 3498
70,53,R0E 8708
60,53,F2U 5203
110,96,T0V 8023
100,98,J1X 4265
110,94,Z5U 9719
70,70,O3A 8266
120,109,C1B 3465
60,41,I8T 5774
130,127,C9Z 9644
110,91,G6N 5032
150,143,I7Y 3041
80,72,Z7V 2348
50,44,K9I 9371
150,143,A9K 5774
40,36,W8Q 7592
110,100,B5O 7159
130,114,M4J 4938
110,108,R1Z 8179
130,130,Y3N 6008
110,101,M1Q 6802
80,71,V5A 5995
70,52,F4X 2077
90,72,K5Q 3992
60,50,C6M 3190
110,104,I0V 0524
110,107,P6L 4038
70,56,T7M 5058
140,137,X1M 3401
40,23,M4K 2209
70,66,E7S 5894
130,120,Q2F 6909
70,60,E5U 5569
100,82,P9N 5832
70,67,W4Z 3250
80,60,P7X 6871
130,121,J0A 3956
80,69,H1N 4353
110,105,R5F 4600
100,84,H3U 2062
50,31,Z5J 4019
120,111,N5V 3027
90,73,I1C 5487
80,80,U1V 5162
50,30,E0Y 6527
150,131,R3O 1489
50,48,V0B 6536
100,100,I6U 2203
110,100,I8T 8003
90,78,R6W 1272
150,137,S8G 7516
70,61,E8L 7634
80,69,P7O 4204
60,55,Y6Z 7425
130,112,M1P 3415
120,101,D5T 4091
100,90,N5J 0907
150,144,Y9Z 1776
120,109,E2P 0958
70,52,R7N 6858
130,127,R9T 0002
110,96,Q2H 1362
150,137,M4A 8058
50,43,J1S 1010
110,102,Y1X 1156
100,81,U4T 4839
140,123,M0O 3170
50,31,W4H 0172
60,45,T8T 2211
130,138,G3V 6836
100,109,Q4X 4279
80,63,F7Y 5040
40,37,M3Y 6729
120,108,R6Q 7299
40,24,M2B 2890
80,72,W8Y 5638
150,141,V4Y 1633
50,34,T5I 9972
140,134,Y2G 8944
130,126,A5T 6563
150,148,A8F 8180
130,117,H5J 0487
50,50,C3I 9789
90,83,G9S 3045
110,98,F0N 9779
50,36,M2V 6239
70,67,V3C 2069
140,130,O2M 0404
40,28,B3W 9863
50,45,Z4H 4691
100,86,O6W 2710
50,32,C2A 1291
130,124,G2R 5170
90,80,T7B 3010
130,115,N9B 3213
150,136,O6U 5297
40,26,D4Z 0911
50,31,R3R 9946
70,55,R7V 9671
90,88,J8O 0014
60,48,I5Z 9344
100,90,K5Z 5314
130,138,M2Q 2665
90,79,L8E 6591
70,66,J8A 8439
130,123,W0X 1094
100,83,S0S 4295
140,138,U3O 9498
80,65,N6H 5809
40,25,N9E 9253
110,99,Z5I 3349
90,83,S3M 7090
60,42,H6X 0025
120,105,I8Q 8584
40,38,X4K 3791
70,64,J8M 5578
150,150,F3Y 6466
140,129,O1U 7590
120,100,D7Q 3003
70,63,C5R 6511
100,100,B9D 5892
150,140,W7A 1616
40,33,P6K 0843
100,92,Z3W 2312
70,70,D9C 3971
100,84,D1P 0844
70,62,N0S 7772
130,115,G4U 9780
40,36,T6U 8851
60,43,B0P 1193
100,86,S2R 8873
90,84,Y6N 3903
50,35,E3D 3401
100,81,N6A 4232
110,94,S9K 6233
50,30,I3M 4913
70,62,X8Z 8848
60,48,T7F 2882
50,46,W3H 9919
100,94,V1L 7289
100,88,H0L 6286
150,149,B1S 0984
130,137,E9C 9913
50,50,Y0R 3106
40,24,U8M 0554
80,77,L9M 5832
40,23,G8E 1439
110,98,A9O 3799
140,127,U1D 4875
110,95,D8F 4855
40,36,K7S 3598
110,91,C5N 0870
110,109,R4K 9908
120,101,O8T 8321
70,68,S4T 1429
120,112,Z8W 3225
100,96,G2P 5845
150,149,J2A 3569
90,89,N9T 5403
80,73,E0J 0521
90,74,B3C 4388
40,20,T2D 6936
120,111,Q2K 6884
140,122,A3J 5416
120,100,Z7E 5367
40,27,Q9M 4497
120,100,V3R 8950
50,44,O8D 4406
40,27,X5H 4183
60,46,U8L 5693
90,84,F2Z 9980
40,35,A2J 0272
130,120,S9J 3441
40,26,E6R 9935
50,44,B2M 4693
60,41,D9H 1983
100,86,M8N 6970
50,39,P7P 0234
150,139,Q1H 2006
120,100,A8P 8927
150,146,J0M 5088
100,81,P0J 1480
140,137,H6X 5677
60,57,W0R 5110
60,60,B3E 2180
110,100,G5F 4114
40,31,D0A 8943
90,75,L9D 1279
150,139,D4P 8941
120,103,F1M 8841
70,55,E0P 0921
140,136,D7B 1859
120,118,V8S 0072
150,144,Z6Y 9303
130,112,D3S 1631
100,95,K8F 1684
40,30,F5B 8587
90,71,G0O 1068
80,80,L8W 8202
70,50,V0Y 2808
150,146,L5Q 8510
150,138,I7O 2490
100,100,I0M 1831
50,50,R0X 1381
100,90,C5B 2920
60,47,O3E 6950
90,74,U6R 3729
90,85,T1A 6995
50,32,H8D 5783
90,89,J9F 0116
50,49,F2O 7560
120,109,O4D 0010
70,59,U3W 1120
100,80,U9T 8133
130,111,J6X 0931
120,101,S2R 5282
120,119,R0P 3149
110,100,K3Q 0176
100,84,L2V 5191
110,109,F5X 0460
40,39,I5T 7669
120,108,B8S 7609
70,57,V3Y 9246
110,98,P8W 0626
130,114,P5D 0361
150,130,D8E 8460
110,95,Y2Q 8105
140,139,G6W 4796
40,37,U6H 0846
60,50,U8D 5239
40,35,A6A 0650
80,64,N5P 9828
150,130,B9R 2268
120,106,E2N 7992
150,144,I3U 9117
40,38,G4G 9098
90,83,L5M 3468
90,76,L4P 0043
90,87,N9O 3389
130,124,I6T 8502
100,89,T8L 0534
100,85,K9W 7361
130,110,B1E 9361
120,109,Z2W 6339
110,105,J5V 5177
60,60,T6D 3953
70,51,Y2G 0913
70,63,K1M 0057
40,38,K5G 9449
150,160,J8T 6228
120,113,E4B 5150
120,100,H4H 9217
90,70,C7U 0031
120,118,H4L 5566
60,57,K2W 5280
80,79,A5A 8781
60,56,X2Z 2742
140,138,E5Y 7005
150,133,N1L 0750
150,132,W2G 6310
100,91,J6O 7153
140,128,A0Q 0853
150,142,Y9E 0726
90,85,I7W 9512
90,75,E1Q 5261
40,25,Z0K 3142
110,114,M0F 9344
70,66,S9R 7547
130,122,X4A 7945
80,60,H1F 8251
90,75,P9Q 3493
150,149,H7W 0179
140,138,N8N 1182
50,42,Q6A 5778
140,122,T0Z 1275
110,90,J0P 1913
90,79,D3B 1080
110,104,L3E 3144
80,66,T0D 5206
60,41,W5E 8771
110,120,A7C 3722
120,118,B3D 7938
70,54,O3C 6188
40,26,U2K 5544
110,103,B7M 5520
80,75,O3D 7187
40,25,C3B 6550
40,30,Q8Z 2485
60,59,G5P 2491
140,138,K1F 8654
90,87,N5V 5947
110,105,C3G 7132
150,150,Z1Y 9598
40,25,Y8Q 8075
120,110,M6R 4174
90,87,L4T 9935
120,120,Q9C 5470
110,106,W7C 9889
80,67,C5W 3217
140,126,P7K 1694
90,90,K4Q 9565
100,86,U1R 3639
90,85,O8A 5266
120,112,Q0L 1579
100,91,O5Z 6255
120,102,D5X 0564
100,95,R5E 8265
110,94,G1L 6897
120,101,N4W 9487
110,96,O4T 3673
60,42,U4B 8039
120,104,C1P 8080
100,90,Y2U 3005
60,50,J2K 0387
130,126,H9U 8841
90,75,J4R 5509
80,68,A5F 0261
50,47,E4V 6049
50,31,M3S 9492
70,77,C0A 7337
120,116,U6D 0591
110,104,G0C 3776
130,116,H2M 6429
130,111,Z9I 0288
40,31,G8K 1497
90,84,V8O 8454
110,92,J6E 9300
130,117,F9B 2181
100,88,F4Z 1433
110,106,N7M 7702
60,44,P6V 1049
